场馆,城市,容量,上座纪录[注 1],建成年份,费用,主队,承办的大型赛事
中升梭鱼湾足球场,大连市,63671,（2024年11月3日）[17],2023年,,,
南京奥体中心体育场,南京市,"61,443[18]",65769,2005年[18],21.67亿元[18],江苏苏宁足球俱乐部（2007-2019）[注 6],2005年全国运动会
南京奥体中心体育场,南京市,"61,443[18]",（2012年10月20日）[19],2005年[18],21.67亿元[18],江苏苏宁足球俱乐部（2007-2019）[注 6],2013年亚洲青年运动会
南京奥体中心体育场,南京市,"61,443[18]",,2005年[18],21.67亿元[18],江苏苏宁足球俱乐部（2007-2019）[注 6],2014年夏季青年奥林匹克运动会
大连体育中心体育场,大连市,"60,832[22]",52109,2012年[24],46亿元[注 7][25],大连人职业足球俱乐部,[26]
大连体育中心体育场,大连市,"60,832[22]",,2012年[24],46亿元[注 7][25],（2014年-2023年）,[26]
大连体育中心体育场,大连市,"60,832[22]",,2012年[24],46亿元[注 7][25],,[26]
大连体育中心体育场,大连市,"60,832[22]",,2012年[24],46亿元[注 7][25],,[26]
大连体育中心体育场,大连市,"60,832[22]",,2012年[24],46亿元[注 7][25],,[26]
大连体育中心体育场,大连市,"60,832[22]",（2019年7月27日）[23],2012年[24],46亿元[注 7][25],,[26]
厦门白鹭体育场,厦门市,60592,不详,2023年,,无,钻石联赛厦门站
厦门白鹭体育场,厦门市,60592,不详,2023年,,无,
厦门白鹭体育场,厦门市,60592,不详,2023年,,无,
厦门白鹭体育场,厦门市,60592,不详,2023年,,无,
厦门白鹭体育场,厦门市,60592,不详,2023年,,无,
厦门白鹭体育场,厦门市,60592,不详,2023年,,无,2027年亚洲田径锦标赛
深圳大运中心体育场,深圳市,"60,334[27]",39998,2010年[27],35亿元[注 7][29],深圳足球俱乐部,2011年世界大学生夏季运动会
深圳大运中心体育场,深圳市,"60,334[27]",（2017年7月22日）[28],2010年[27],35亿元[注 7][29],（2019年至今）,2011年世界大学生夏季运动会
西安奥体中心体育场,西安市,"60,033[30]",不详,2019年[30],25亿元[31],无,2021年全国运动会
山西体育中心体育场,太原市,"60,016[32]",不详,2012年[32],7.62亿元[32],无,2019年全国青年运动会
沈阳奥体中心体育场,沈阳市,"60,000[33]",47000,2007年[35],19.7亿元[36],沈阳东进足球俱乐部,2008年夏季奥林匹克运动会
沈阳奥体中心体育场,沈阳市,"60,000[33]",,2007年[35],19.7亿元[36],（2009年-2011年）,2013年全国运动会
沈阳奥体中心体育场,沈阳市,"60,000[33]",,2007年[35],19.7亿元[36],辽宁足球俱乐部,
沈阳奥体中心体育场,沈阳市,"60,000[33]",,2007年[35],19.7亿元[36],（2016-2019）,
沈阳奥体中心体育场,沈阳市,"60,000[33]",,2007年[35],19.7亿元[36],,
沈阳奥体中心体育场,沈阳市,"60,000[33]",（2017年7月4日）[34],2007年[35],19.7亿元[36],,
合肥体育中心体育场,合肥市,"60,000[37]",17000,2006年[39],15亿元[37],安徽九方足球俱乐部,2006年安徽省运动会
合肥体育中心体育场,合肥市,"60,000[37]",,2006年[39],15亿元[37],（2010年）,2006年安徽省运动会
合肥体育中心体育场,合肥市,"60,000[37]",,2006年[39],15亿元[37],安徽力天足球俱乐部,2006年安徽省运动会
合肥体育中心体育场,合肥市,"60,000[37]",,2006年[39],15亿元[37],（2014年-2015年）,2006年安徽省运动会
合肥体育中心体育场,合肥市,"60,000[37]",,2006年[39],15亿元[37],合肥桂冠足球俱乐部,2006年安徽省运动会
合肥体育中心体育场,合肥市,"60,000[37]",（2013年6月15日）[38],2006年[39],15亿元[37],（2016年-2018年）,2006年安徽省运动会
河北奥体中心体育场,石家庄市,"60,000[40]",35613,2015年[42],10.09亿元[40],石家庄永昌足球俱乐部,暂无
河北奥体中心体育场,石家庄市,"60,000[40]",,2015年[42],10.09亿元[40],-2019,暂无
河北奥体中心体育场,石家庄市,"60,000[40]",,2015年[42],10.09亿元[40],,暂无
河北奥体中心体育场,石家庄市,"60,000[40]",,2015年[42],10.09亿元[40],,暂无
河北奥体中心体育场,石家庄市,"60,000[40]",（2019年11月2日）[41],2015年[42],10.09亿元[40],,暂无
青岛市民健身中心体育场,青岛市,"60,000[43]",不详,2018年[43],27.92亿元[注 7][44],无,2018年山东省运动会
西安国际足球中心,西安市,60000,,2023年,,,
洛阳市奥林匹克体育中心,洛阳市,59795,,2022年,,,
福州海峡奥林匹克体育中心,福州市,"59,562[45]",2768,2015年[47],30亿元[注 7][48],福建天信足球俱乐部,2015年全国青年运动会
福州海峡奥林匹克体育中心,福州市,"59,562[45]",,2015年[47],30亿元[注 7][48],（2018年）[注 8],2015年全国青年运动会
福州海峡奥林匹克体育中心,福州市,"59,562[45]",,2015年[47],30亿元[注 7][48],,2015年全国青年运动会
